"comment","label"
"加州 黑提",0
"美国 美人 指 葡萄",0
"原 箱 佳沛 黄金金 果王 个 装",0
"国产 香蕉",0
"夏 黑 葡萄",0
"户 太 八号 葡萄",0
"新疆 红 提",0
"无籽 露 提子",0
"无籽 黑 提",0
"佳沃 金 果 个 装",0
"奇异 果 国产 个 装",0
"翠香 猕猴桃 个 装",0
"国产 金果 个 装",0
"金 奇异 果王 个个 装",0
"佳沛 绿 果 王 个 装",0
"进口 奇异 果 个 装",0
"佳沛 新西兰 金 奇异 果 个 装",0
"佳沛 盒装 绿 奇异 果 粒 装",0
"佳沛 甜心 绿果 粒 装",0
"佳沛 盒装 绿 奇异 果 个 装",0
"红心 奇异 果 个 装",0
"佳沛 甜心 绿 果 个 装",0
"原 箱 佳沃 金艳 奇异 果",0
"原 箱 佳沃 金艳 奇异 果王",0
"云南 红 树莓",0
"佳沛 绿 果 礼盒 粒装",0
"新西兰 金 奇异 果 礼盒 粒装",0
"澳洲 车 厘子",0
"澳洲 车 厘子 礼盒",0
"澳洲 车 厘子",0
"澳洲 车 厘子 礼盒",0
"澳洲 车 厘子",0
"澳洲 车 厘子 礼盒",0
"特特 香蕉",0
"杨桃",0
"软柿",0
"金 灯果",0
"本地 青提",0
"湿 花生",0
"小 西红柿 中",0
"蛋黄 小 西红柿",0
"雪莲 果",0
"红 圣女 果",0
"本地 无籽 红 提",0
"芭蕉",0
"冠熟 木瓜",0
"原 箱 佳沃 金艳 奇异 果王",0
"凤梨 礼盒",0
"凤梨 礼盒",0
"进口 皇帝 蕉",0
"进口 皇帝 蕉",0
"米蕉",0
"鲜到 软籽 石榴 粒",0
"鲜到 红心 猕猴桃",0
"鲜到 软籽 石榴",0
"鲜到 甜脆柿",0
"鲜到 释迦",0
"鲜到 雪莲 果",0
"鲜到 湿 花生",0
"鲜到 国产 红 提",0
"鲜到 新疆 火焰 红 提",0
"鲜到 进口 黑加仑",0
"鲜到 徐香 猕猴桃",0
"鲜到 圣女 果",0
"鲜到 红心 火龙果",0
"鲜到 火龙果",0
"鲜到 进口蕉",0
"鲜到 米蕉",0
"鲜到 红 石榴",0
"鲜 到 百 香 果",0
"鲜到 进口车 厘子",0
"鲜到 精品 芭乐",0
"鲜到 台湾 红心 芭乐",0
"鲜到 台湾 莲雾",0
"鲜到 台湾 杨桃",0
"鲜到 佳沛 绿 奇异 果",0
"鲜到 佳沛 金 奇异 果",0
"鲜到 精装 柠檬",0
"鲜到 进口 蓝莓",0
"鲜到 山竹",0
"鲜到 榴莲 肉",0
"鲜 到 金枕 榴莲",0
"鲜到 凤梨",0
"正柿",0
"本地 芭乐",0
"小 木瓜",0
"火龙果",0
"台湾 珍珠 芭乐 约 份",0
"菱角",0
"甘蔗",0
"火龙果",0
"山竹 a",0
"甘蔗",0
"半边天 香蕉",0
"菠萝蜜",0
"无花果",0
"山竹",0
"珍珠 小 西红柿",0
"菠萝蜜 肉约",0
"菠萝蜜",0
"国产车 厘子",0
"红心 芭乐",0
"台湾 莲雾",0
"徐香 猕猴桃",0
"进口 无籽 红 提 kg",0
"百 香 果",0
"泰国 莲雾 粒",0
"都 乐 猕猴桃",0
"辽宁 葡萄",0
"人参 果娃",0
"正牌 金 枕 榴莲",0
"树莓",0
"黑莓",0
"福安 葡萄",0
"本地 芭乐",0
"都 乐 猕猴 桃 粒",0
"都 乐超甜蕉",0
"紫 番茄",0
"富有 甜柿",0
"软籽 石榴",0
"小 西红柿",0
"榴莲 肉",0
"串珠茄",0
"香蜜 凤梨",0
"都 乐 宝贝蕉",0
"下河 杨桃 一 级",0
"下河 杨桃 特级",0
"巨人 牛油 果 个",0
"百 香 果",0
"红心 猕猴 桃 粒",0
"无花果 粒",0
"云南 石榴 粒",0
"马来西亚 榴莲",0
"马来西亚 榴莲 班戟",0
"马来西亚 榴莲 大福",0
"进口 皇帝 蕉",0
"j 智利 车 厘子 礼盒",0
"凤梨 礼盒",0
"铜川 玻璃 温室 草莓",0
"铜川 玻璃 温室 草莓",0
"蛇皮 果",0
"青 提 约 份",0
"木瓜",0
"榴莲",0
"美人 提",0
"释迦",0
"红心 芭乐",0
"台湾 杨桃 约 份",0
"菓屿a 甜柿 xl",0
"菓屿a 甜柿 xxl",0
"菓屿a 甜柿 xxxl",0
"菓屿蜜 风铃 莲雾",0
"菓屿 大红 蜜 火龙果",0
"佳沛 金 奇异 果",0
"佳沛 金 奇异 果 个 装",0
"智利 蓝莓",0
"红莓",0
"korea 葡萄",0
"黄金 百 香 果",0
"佳沛 绿 奇异 果",0
"佳沛 绿 奇异 果粒",0
"有机 绿果 粒 装",0
"有机 绿 奇异 果 粒 装",0
"佳沛 绿 奇异 果粒",0
"佳沛 金 奇异 果粒",0
"佳沃 金果个",0
"佳沛 金 奇异 果",0
"佳沛 金 奇异 果",0
"佳沛 金 奇异 果",0
"菓屿a 甜柿 l",0
"澳洲 车 厘子",0
"jjj 澳洲 车 厘子 礼盒",0
"台湾 脆柿",0
"马蹄",0
"小 西红柿",0
"桑果",0
"莲雾",0
"菠萝蜜",0
"串串 红玲",0
"草莓",0
"徐香 猕猴桃",0
"串串 红玲",0
"盒装 草莓",0
"太阳果",0
"辽宁 葡萄",0
"湿 花生",0
"崇明 直 采 红颜 草莓 盒",0
"翠香 猕猴 桃 粒",0
"千禧 圣女 果",0
"释迦",0
"盒装 草莓 盒",0
"五彩缤纷",0
"千禧 小 西红柿",0
"杨桃",0
"释迦",0
"莲雾",0
"榴莲",0
"猕猴桃",0
"草莓",0
"特特 香蕉",0
"香蕉",0
"盒装 草莓",0
"佳沛 金 奇异 果",0
"徐香 猕猴桃",0
"红 提",0
"小 西红柿",0
"奇异 果",0
"菠萝",0
"山竹",0
"蓝莓",0
"牛油果",0
"菠萝蜜",0
"车 厘子",0
"凤梨",0
"皇帝 蕉",0
"百 香 果",0
"火龙果",0
"本地 红 提",0
"木瓜",0
"红心 火龙果",0
"香甜 脆柿",0
"米蕉",0
"国产 红心 猕猴桃",0
"人参 果娃",0
"金钱柿",0
"彩食 鲜 草莓",0
"佳沛 绿 奇异 果",0
"彩食鲜 火龙果",0
"彩食鲜 皇帝 蕉",0
"彩食 鲜红 提",0
"彩食鲜 木瓜",0
"彩食 鲜红 心 木瓜",0
"彩食鲜 千禧 果",0
"彩食鲜 精品 香蕉",0
"彩食 鲜红 心 火龙果",0
"黑提",0
"本地 无籽 红 提",0
"黄 圣女 果",0
"人参 果",0
"石榴",0
"彩食鲜 太阳果",0
"彩食 鲜 牛油果",0
"台湾 珍珠 芭乐",0
"台湾 杨桃",0
"太阳果",0
"火 参果 约 个",0
"珍珠 小 西红柿",0
"金 奇异 果",0
"青 提",0
"本地 黑 提",0
"无籽 红 提",0
"佳沛 甜心 奇异 果",0
"红颜 草莓 盒",0
"千禧 小 西红柿",0
"千禧 小 西红柿",0
"精选 百 香 果",0
"精选 千禧 小 西红柿",0
"精选 百 香 果",0
"精选 千禧 小 西红柿",0
"进口 红 提",0
"香水 菠萝",0
"香水 菠萝",0
"千禧 小 西红柿",0
"菠萝",0
"草莓",0
"红心 芭乐",0
"台湾 莲雾",0
"龙贡",0
"盒装 草莓",0
"千禧 小 西红柿",0
"青 提",0
"火龙果",0
"金 枕 榴莲",0
"小 木瓜",0
"红心 火龙果",0
"皇帝 蕉",0
"黑提",0
"释迦",0
"牛油果",0
"无籽 红 提",0
"蛇皮 果",0
"红 提",0
"百 香 果",0
"特特 香蕉",0
"火 参 果",0
"凤梨 个装",0
"盒装 草莓",0
"越南 红心 火龙果",0
"千禧 小 西红柿",0
"南非 黑 提 约",0
"无籽 红 提",0
"释迦约",0
"台湾 莲雾",0
"龙贡",0
"佳沛 绿 奇异 果 粒 装",0
"佳沛 金 奇异 果粒",0
"智利 红 提",0
"青 提",0
"以色列 柑粒装",0
"树莓",0
"烤 肠",0
"盒装 黄 圣女 果",0
"盒装 黄 圣女 果kg",0
"牛油果",0
"台湾 莲雾",0
"红心 芭乐",0
"越南 白 心 火龙果 个",0
"彩食 鲜 黄 心 奇异 果",0
"彩食 鲜绿 奇异 果",0
"榴莲 肉",0
"海南 皇帝 蕉",0
"菠萝蜜",0
"菠萝蜜",0
"进口 皇帝 蕉",0
"太阳果",0
"凤梨",0
"本地 芭乐",0
"奇异 果",0
"太阳果",0
"火龙果",0
"太阳果",0
"绿 奇异 果",0
"蛇皮 果",0
"金 奇异 果",0
"绿 奇异 果",0
"红心 芭乐",0
"台湾 莲雾",0
"基地 红颜 草莓 盒装",0
"雪莲 果",0
"国产车 厘子",0
"国产车 厘子",0
"木瓜",0
"菠萝蜜",0
"泰国 山竹",0
"彩食鲜 甘蔗",0
"彩食 鲜 小 木瓜",0
"桑果",0
"本地 青提",0
"桑葚 盒装",0
"奶油 草莓",0
"泰国 山竹",0
"本地 黑 提",0
"金煌 芒果",0
"千禧 小 西红柿",0
"户 太 八号 葡萄",0
"甘蔗",0
"无籽 红 提",0
"杨桃份",0
"青 提 份",0
"红 提 份",0
"小 西红柿 份",0
"火龙果 份",0
"香蕉 份",0
"草莓份",0
"木瓜 约 个",0
"红心 火龙果 份",0
"进口 香蕉 约 份",0
"凤梨个",0
"猕猴 桃 份",0
"释迦份",0
"蓝莓盒",0
"车 厘子份",0
"牛油果",0
"佳沛 绿 奇异 果 个 盒",0
"佳沛 金 奇异 果 个 盒 单 果约",0
"佳沃 蓝莓",0
"玫瑰 香 葡萄",0
"麒麟 果",0
"都 乐意 大利 奇异 果 礼盒 个",0
"佳沃 柳桃",0
"绿宝石 西红柿",0
"都 乐金 菠萝",0
"梅枣",0
"粉红 佳人",0
"紫 玛瑙",0
"金玉满堂",0
"红宝石",0
"黄珍珠",0
"盒装 红 圣女 果kg",0
"弹头柿",0
"紫 番茄",0
"福寿果",0
"热情 果",0
"翠香 猕猴 桃 粒",0
"无花果",0
"红 提",0
"无籽 红 提",0
"释迦粒",0
"莲雾",0
"盒装 精品 台湾 珍珠 芭乐",0
"盒装 精品 金 奇异 果",0
"富有 甜柿",0
"盒装车 厘子",0
"鸭嘴 金 奇异 果粒",0
"都 乐 宝贝蕉",0
"精选 千禧 小 西红柿",0
"佳沛 金 奇异 果王",0
"美早 樱桃",0
"马蹄",0
"葡萄",0
"巨峰 葡萄",0
"进口 无籽 黑 提",0
"蓝莓盒",0
"进口 橙粒装",0
"月柿",0
"无土 栽培 草莓",0
"水果 胡萝卜",0
"黑 美人 提",0
"千禧 小 柿子 份",0
"美国 青提 约 份",0
"智利 红 提 约 份",0
"越南 火龙 果 个",0
"金 枕 榴莲 肉约",0
"红心 火龙果 个约",0
"释迦 个约",0
"台湾 凤梨 约 个",0
"无籽 红 提 约 盒",0
"台湾 莲雾 个 约",0
"巨人 牛油 果 个",0
"凤梨 约 个",0
"释迦 约 个",0
"无籽 红 提 约 盒",0
"进口 红 提 约 盒",0
"火龙果 约份",0
"进口 青 提 约 盒",0
"木瓜 约 个",0
"红心 火龙果 个约份",0
"人心果",0
"人心果",0
"奶香果",0
"奶香果",0
"热情 果",0
"盒装 无花果",0
"百 香 果 粒",0
"玛奶提",0
"红心 火龙果 个",0
"百 香 果 约 份",0
"桑果",0
"超甜蕉",0
"国产 香蕉",0
"进口 香蕉",0
"木瓜",0
"榴莲",0
"白 心 火龙果",0
"红心 火龙果",0
"凤梨",0
"凤梨",0
"菠萝",0
"香甜 脆柿",0
"无籽 红 提",0
"释迦",0
"石榴",0
"山竹",0
"桑果",0
"千禧 小 西红柿",0
"牛油果",0
"牛油果",0
"猕猴桃",0
"玫瑰 香 葡萄",0
"马蹄",0
"莲雾",0
"蓝莓",0
"金 奇异 果",0
"佳沛 绿 奇异 果",0
"佳沛 金 奇异 果",0
"黄 心 奇异 果",0
"红 提",0
"国产车 厘子",0
"智利 车厘子 jj级",0
"草莓",0
"本地 黑 提",0
"澳洲 车 厘子",0
"彩食鲜 青提",0
"猕猴桃",0
"牛油果",0
"本地 黑 提",0
"车 厘子",0
"千禧 小 西红柿",0
"皇帝 蕉",0
"红 提",0
"小 西红柿",0
"山竹",0
"火龙果",0
"榴莲",0
"木瓜",0
"红心 火龙果",0
"特特 香蕉",0
"莲雾",0
"百 香 果",0
"台湾 特级 牛奶 凤梨",0
"黑 美人 提",0
"菠萝",0
"香蕉",0
"凤梨",0
"巨峰 葡萄",0
"本地 无籽 红 提",0
"石榴",0
"香甜 脆柿",0
"本地 红 提",0
"太阳果",0
"葡萄",0
"美早 樱桃",0
"黄 圣女 果",0
"进口 香蕉",0
"进口 香蕉",0
"脆皮 金桔盒",0
"爱妃 苹果",0
"云南 红 树莓",0
"黑莓",0
"牛油 果 牛奶",0
"皇帝 蕉",0
"脆皮 金桔",0
"超甜蕉",0
"牛奶 木果",0
"红 蛇 果",0
"贵妃 芒果盒",0
"龙贡盒",0
"海南 红心 火龙果 个",0
"无花果",0
"美人 提",0
"白 提",0
"菠萝",0
"甘蔗",0
"金 灯果",0
"白 葡萄",0
"树莓",0
"温克 提子",0
"山竹份",0
"佳沛 绿 奇异 果粒",0
"佳沛 金 奇异 果粒",0
"佳沛 金 奇异 果 个 装",0
"台湾 杨桃",0
"草莓",0
"奶油 草莓",0
"勐源 凤梨",0
"勐源 凤梨",0
"本地 黑 提",0
"超大 百 香 果 粒",0
"越南 红心 火龙果 粒",0
"国产车 厘子",0
"软心芭乐粒",0
"冰糖 心 木瓜 粒",0
"广西 超 甜 蕉斤",0
"安徽 小 西红柿 斤",0
"干尧 榴莲",0
"杨桃",0
"葡萄",0
"正柿",0
"软柿",0
"青 提",0
"红 提",0
"小 西红柿",0
"菠萝",0
"石榴",0
"山竹",0
"百 香 果",0
"石榴",0
"火龙果",0
"香蕉",0
"本地 芭乐",0
"榴莲",0
"金 灯果",0
"本地 红 提",0
"黄 圣女 果",0
"特特 香蕉",0
"香水 菠萝",0
"太阳果",0
"草莓",0
"木瓜",0
"本地 青提",0
"玛奶提",0
"红心 火龙果",0
"人参 果",0
"湿 花生",0
"莲雾",0
"火龙果",0
"台湾 杨桃",0
"凤梨",0
"台湾 珍珠 芭乐",0
"猕猴桃",0
"番荔枝",0
"珠柿",0
"硬柿",0
"蛋黄 小 西红柿",0
"山竹 a",0
"皇帝 蕉",0
"米蕉",0
"本地 黑 提",0
"彩食 鲜 草莓",0
"正牌 金 枕 榴莲",0
"夏 黑 葡萄",0
"菠萝蜜 肉",0
"弹头柿",0
"都 乐金 菠萝",0
"澳洲 车 厘子",0
"现切 香水 菠萝 肉",0
"香水 菠萝",0
"泰国 榴莲 王",0
"福安 巨峰 葡萄",0
"本地 芭乐",0
"会理 石榴",0
"富有 甜柿",0
"车 厘子 xl",0
"软籽 石榴",0
"小 西红柿",0
"牛奶 草莓",0
"都 乐 宝贝蕉",0
"下河 杨桃 一 级",0
"下河 杨桃 特级",0
"新 果度 金 枕 榴莲",0
"佳沃 金 枕 榴莲",0
"菠萝蜜",0
"新西兰 车厘子",0
"进口 皇帝 蕉",0
"甘蔗",0
"黑提",0
"美人 提",0
"巨峰 葡萄",0
"雪莲 果",0
"释迦",0
"红 圣女 果",0
"菠萝蜜",0
"无花果",0
"南美洲 牛油 果粒",0
"南非 无籽 红 提",0
"蛇皮 果",0
"玫瑰 香 葡萄",0
"车 厘子",0
"珍珠 小 西红柿",0
"本地 无籽 红 提",0
"火焰 红",0
"菠萝蜜",0
"加丽冠 熟 木瓜",0
"芭蕉",0
"红皮 香蕉",0
"国产车 厘子",0
"红心 芭乐",0
"冠熟 木瓜",0
"台湾 莲雾 粒",0
"都 乐超甜蕉",0
"都 乐 帝王蕉",0
"进口 红心 火龙果",0
"香水 菠萝",0
"香蕉",0
"红 提",0
"山竹",0
"千禧 小 西红柿",0
"木瓜",0
"莲雾",0
"火龙果",0
"皇帝 蕉",0
"红心 火龙果",0
"本地 黑 提",0
"凤梨",0
"释迦",0
"草莓",0
"彩食鲜 千禧 果",0
"彩食 鲜 牛油果",0
"百 香 果",0
"特特 香蕉",0
"榴莲",0
"太阳果",0
"台湾 杨桃",0
"牛油果",0
"海南 牛奶 木瓜 粒",0
"广西 超 甜 蕉斤",0
"超大 百 香 果 粒",0
"海南 千禧 斤",0
"越南 红心 火龙果 粒",0
"榴莲",0
"红心 木瓜",0
"香水 菠萝 份",0
"月柿约",0
"杨桃 约 份",0
"香甜 脆 柿约份",0
"香蕉 约 份",0
"无籽 红 提 约 份",0
"进口 香蕉 约",0
"释迦",0
"石榴",0
"山竹 约 份",0
"奇异 果 个",0
"牛油果",0
"木瓜 约",0
"猕猴桃 约 份",0
"玛奶提 约 份",0
"马蹄 约 份",0
"榴莲 约 份",0
"莲雾 约 个",0
"蓝莓",0
"巨峰 葡萄 约 份",0
"金 奇异 果 个",0
"佳沛 绿果",0
"新西兰 金 奇异 果",0
"火龙果 约份",0
"黄 心 奇异 果 约 个",0
"红心 火龙果 约份",0
"红 提 约 份",0
"盒装 草莓",0
"凤梨 约 个",0
"车 厘子 约 份",0
"草莓 约 份",0
"菠萝 约 份",0
"本地 无籽 红 提 约 份",0
"本地 青提 约 份",0
"本地 红 提 约 份",0
"本地 黑 提 约 份",0
"本地 芭乐约",0
"黑 美人 提",0
"龙贡",0
"波 蜜柚",0
"无花果",0
"特级 奇异果",0
"一 级 车厘子",0
"樱桃",0
"莲雾",0
"奇异 果",0
"红 提",0
"山竹",0
"金 奇异 果",0
"半边天 黑 珍珠 小 西红柿",0
"马蹄",0
"甘蔗",0
"火焰 红 葡萄",0
"甘蔗",0
"冠熟 木瓜",0
"马蹄肉",0
"百 香 果",0
"火龙果",0
"红心 木瓜",0
"无土 栽培 草莓",0
"紫色 番茄",0
"手撕 凤梨",0
"榴莲",0
"茂谷柑",0
"茂谷柑",0
"海南 千禧 约 份",0
"干尧 榴莲",0
"榴莲",0
"软心芭乐粒",0
"佳沛 新西兰 金 奇异 果 个 装",0
"佳沛 盒装 绿 奇异 果 粒 装",0
"蓝莓 约 盒",0
"南非 无籽 黑 提",0
"佳沛 金 奇异 果粒",0
"佳沛 金 奇异 果粒",0
"莲雾 约 份",0
"盒装 草莓 约 份",0
"菠萝蜜 约 份",0
"青 提",0
"佳沛 金 奇异 果粒",0
"南非 无籽 黑 提",0
"佳沛 金 奇异 果粒",0
"红心 火龙果 粒盒",0
"红心 奇异 果",0
"黄 心 奇异 果",0
"红心 奇异 果",0
"牛油果",0
"宝石 球 榴莲",0
"青 尼 榴莲",0
"金 枕 榴莲",0
"国产车 厘子",0
"夏 黑 葡萄",0
"依顿 徐香 猕猴桃",0
"翠香 猕猴 桃 粒",0
"牛油果",0
"石榴",0
"果盘 木瓜 切片 约 份",0
"台湾 莲雾",0
"智利 红 提",0
"南非 无籽 黑 提",0
"牛油 果粒",0
"佳沛 金 奇异 果粒",0
"佳沛 金 奇异 果粒",0
"果盘 约 份",0
"国产车 厘子",0
